Date,EGX 30 Closing
10/5/2022,10.73
10/4/2022,10.48
10/3/2022,10.48
9/29/2022,10.5
9/28/2022,10.62
9/27/2022,10.63
9/26/2022,10.7
9/22/2022,10.77
9/21/2022,10.82
9/20/2022,10.66
9/19/2022,10.56
9/15/2022,11.03
9/14/2022,11.24
9/13/2022,11.29
9/12/2022,11.2
9/8/2022,11.07
9/7/2022,11.18
9/6/2022,11.01
9/5/2022,10.82
9/1/2022,10.82
8/31/2022,10.96
8/30/2022,10.95
8/29/2022,11.01
8/25/2022,10.93
8/24/2022,10.97
8/23/2022,11.09
8/22/2022,11.19
8/18/2022,10.88
8/17/2022,10.65
8/16/2022,10.73
8/15/2022,10.8
8/11/2022,10.78
8/10/2022,10.79
8/9/2022,10.87
8/8/2022,10.96
8/4/2022,10.33
8/3/2022,10.22
8/2/2022,10.21
8/1/2022,10.28
7/28/2022,10.1
7/27/2022,10.17
7/26/2022,10.05
7/21/2022,9.92
7/20/2022,9.84
7/19/2022,9.67
7/18/2022,9.56
